artist,amount_of_songs,amount_of_plays
"Lachen, gieren, brullen om #PRANKS",1,1
COFFIN DANCE MEME,1,1
Wildstylez,6,39
Sefa,12,44
Eastblock Bitches vs. Ostblockschlampen,1,1
Internet Comment Etiquette:,1,1
Viola Martinsson,1,56
Fools Garden,1,25
R3hab,1,1
Lange Frans & Baas B,1,3
Lilly Wood and the Prick,1,27
The Proclaimers,1,3
EZG,4,5
Wolfmother,1,2
Delta Heavy,5,12
Gazpacho,1,6
Benny Benassi Presents The Biz,1,7
Deep Purple,2,18
Steve Aoki,2,40
Survivor,1,21
Bassjackers,3,7
Idaly,1,2
Don Toliver,1,1
2 Unlimited,3,4
Dr. Kucho!,1,1
Just Chillax,1,31
Skazi,5,25
The Avalanches,1,10
Usher,5,34
Flobots,1,22
Natasha Bedingfield,1,12
Lucky Hz,2,35
Eppic,1,7
Adrian Lux,1,18
Kloud,6,11
George Michael,1,1
Kraantje Pappie,4,18
Boston,1,2
Pigeon John,3,8
Riot Ten,1,1
Lawineboys,1,9
Dexys Midnight Runners,1,5
LSD,15,81
"RISE (ft. The Glitch Mob, Mako, and The Word Alive) | Worlds 2018",1,1
The Police,2,2
Dream Mclean,2,28
Brave Shores,1,29
Ginger Ninja,1,18
lofi hip hop radio,1,1
Juno Reactor,2,2
Otto Knows,3,21
The Common Linnets,2,14
Manufactured Superstars,2,15
Sean Kingston,1,16
Sixpence None the Richer,1,3
The Bravery,1,3
KONGOS,1,3
Zany,2,22
Ace of Base,2,2
The White Stripes,3,26
Crypt The Warchild,1,1
Tristan & Bliss,1,1
Jack Holiday,1,18
The Clash,1,21
Showtek,3,21
The Pussycat Dolls,1,1
Zwette,2,28
Trap Music NOW.,6,101
Bill Withers,2,3
EDM Bot,3,3
ChilledCow,1,1
DJ Benji,1,1
Logic,4,8
KDrew,1,1
CAR MUSIC,5,8
AR Classic Records,1,1
Blaze Audio,6,7
deadmau5 & Shotty Horroh,1,1
Jay-Z / Linkin Park,3,6
Eurythmics,4,42
AZERIA,1,2
SwaySounnds,1,2
Grace,1,3
Area 11,1,32
Jannes,1,1
John Farnham,1,19
Rednex,1,2
Azhee,1,13
Julian Casablancas,3,35
Above & Beyond,2,3
JAY Z,5,114
Kris Kross Amsterdam,2,3
PresageMusic,1,8
Smartface,3,3
Kevin,3,4
George Frideric Handel,1,1
Mr. Hyde,1,1
TJH87,1,11
Skream ft. Sam Frank,1,15
Wu-Tang Clan,12,17
Diversity,1,6
Mötley Crüe,1,1
8 Graves,3,12
Parallel Sound,1,14
Eduard Khil,1,6
Bill Haley & His Comets,1,1
Gloria Gaynor,1,1
Tom Petty,2,20
Bootik,1,9
Cyranek,1,9
Scarphase,1,9
Reel Wolf Presents,1,17
André Hazes Jr.,1,3
Dope,3,4
Berg,2,3
Sonic Species,1,1
Metrik,2,3
Rasmus Kent,1,1
Blastoyz,2,2
Modern8,1,1
SCNDL,1,2
Sentinel 7,1,2
